label,value
The Shadow Line: A Confession,451
"Lavengro: The Scholar, the Gypsy, the Priest",452
Emma McChesney and Co.,453
The Breitmann Ballads,454
The University of Hard Knocks,455
"The Door in the Wall, and Other Stories",456
The Price She Paid,457
Dreams and Dust,458
The White People,459
The Dawn of a To-morrow,460
The Quest of the Golden Girl: A Romance,461
"The Errand Boy; Or, How Phil Brent Won Success",462
"In the South Seas
Being an Account of Experiences and Observations in the Marquesas, Paumotus and Gilbert Islands in the Course of Two Cruises on the Yacht ""Casco"" (1888) and the Schooner ""Equator"" (1889)",464
The Mountains,465
The Gaming Table: Its Votaries and Victims. Volume 1 (of 2),466
The Princess of Cleves,467
Manon Lescaut,468
The Duchesse of Langeais,469
Heretics,470
The Bride of Lammermoor,471
The House Behind the Cedars,472
Stories to Tell to Children,473
"How to Tell Stories to Children, and Some Stories to Tell",474
"In Darkest England, and the Way Out",475
"James Nasmyth, Engineer: An Autobiography",476
Criminal Sociology,477
The Cost,478
Little Lord Fauntleroy,479
In the Bishop's Carriage,481
The Woodlanders,482
The Conquest of Canaan,483
"Poor and Proud; Or, The Fortunes of Katy Redburn: A Story for Young Folks",484
The Road to Oz,485
Ozma of Oz,486
"Songs of Travel, and Other Verses",487
She Stands Accused,488
One Basket,489
Life and Adventures of Calamity Jane,490
Rezanov,491
Essays in the Art of Writing,492
Falk: A Reminiscence,493
To-morrow,494
Amy Foster,495
The Little Lame Prince,496
Tracks of a Rolling Stone,497
Rebecca of Sunnybrook Farm,498
"Tom Swift in the Land of Wonders; Or, The Underground Search for the Idol of Gold",499
The Adventures of Pinocchio,500
The Story of Doctor Dolittle,501
Desert Gold,502
The Blue Fairy Book,503
The Fifth String,504
History of the Warfare of Science with Theology in Christendom,505
The Shuttle,506
Adam Bede,507
Twice-Told Tales,508
The Purcell Papers — Volume 1,509
The Purcell Papers — Volume 2,510
The Purcell Papers — Volume 3,511
"Mosses from an Old Manse, and Other Stories",512
The Snow Image,513
Little Women,514
Margret Howth: A Story of To-day,515
The Silverado Squatters,516
The Emerald City of Oz,517
"The Enchanted Island of Yew
Whereon Prince Marvel Encountered the High Ki of Twi and Other Surprising People",518
A Kidnapped Santa Claus,519
The Life and Adventures of Santa Claus,520
The Life and Adventures of Robinson Crusoe,521
The Chinese Boy and Girl,522
"Court Life in China: The Capital, Its Officials and People",523
Ann Veronica: A Modern Love Story,524
"Youth, a Narrative",525
The End of the Tether,527
"Joe the Hotel Boy; Or, Winning out by Pluck",528
Knights of Art: Stories of the Italian Painters,529
"Driven from Home; Or, Carl Crawford's Experience",530
